"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEPREFIX";
"5VADJUST1";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";
"BUCK_BYPAS";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";
"C15";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";
"I2C_0";"JST-PH-B4B-PH-SM4THRU-HOLE";"JST-PH-B4B-PH-SM4THRU-HOLE";"B4B-PH-SOLDER";"JST PH 4 Pin (2.00")";"";"";"";"";"";
"I2C_1";"JST-PH-B4B-PH-SM4THRU-HOLE";"JST-PH-B4B-PH-SM4THRU-HOLE";"B4B-PH-SOLDER";"JST PH 4 Pin (2.00")";"";"";"";"";"";
"I2C_2";"JST-PH-B4B-PH-SM4THRU-HOLE";"JST-PH-B4B-PH-SM4THRU-HOLE";"B4B-PH-SOLDER";"JST PH 4 Pin (2.00")";"";"";"";"";"";
"I2C_3";"JST-PH-B4B-PH-SM4THRU-HOLE";"JST-PH-B4B-PH-SM4THRU-HOLE";"B4B-PH-SOLDER";"JST PH 4 Pin (2.00")";"";"";"";"";"";
"I2C_4";"JST-PH-B4B-PH-SM4THRU-HOLE";"JST-PH-B4B-PH-SM4THRU-HOLE";"B4B-PH-SOLDER";"JST PH 4 Pin (2.00")";"";"";"";"";"";
"I2C_5";"JST-PH-B4B-PH-SM4THRU-HOLE";"JST-PH-B4B-PH-SM4THRU-HOLE";"B4B-PH-SOLDER";"JST PH 4 Pin (2.00")";"";"";"";"";"";
"I2C_6";"JST-PH-B4B-PH-SM4THRU-HOLE";"JST-PH-B4B-PH-SM4THRU-HOLE";"B4B-PH-SOLDER";"JST PH 4 Pin (2.00")";"";"";"";"";"";
"I2C_7";"JST-PH-B4B-PH-SM4THRU-HOLE";"JST-PH-B4B-PH-SM4THRU-HOLE";"B4B-PH-SOLDER";"JST PH 4 Pin (2.00")";"";"";"";"";"";
"I2C_MSTR";"";"I2C_JST_CONNECTORTHROUGH_HOLE";"B4B-PH-SOLDER";"";"";"";"";"";"";
"J1";"";"JACK-PLUG0";"SPC4077";"DC POWER JACK";"";"";"unknown";"unknown";"";
"MISO";"";"1,6/0,9";"1,6/0,9";"THROUGH-HOLE PAD";"";"";"";"";"";
"MLF1";"ATTINY1634MLF20";"ATTINY1634MLF20";"MLF20";"";"";"";"";"";"";
"MOSI";"";"1,6/0,9";"1,6/0,9";"THROUGH-HOLE PAD";"";"";"";"";"";
"PB3";"";"1,6/0,9";"1,6/0,9";"THROUGH-HOLE PAD";"";"";"";"";"";
"Q4";"BSS138";"MOSFET-NCHANNELSMD";"SOT23-3";"";"";"";"";"";"";
"Q5";"BSS138";"MOSFET-NCHANNELSMD";"SOT23-3";"";"";"";"";"";"";
"Q6";"BSS138";"MOSFET-NCHANNELSMD";"SOT23-3";"";"";"";"";"";"";
"R2";"4K7";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"R";
"R5";"4K7";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"R";
"R7";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";
"R9";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";
"R10";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";
"R11";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";
"R14";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";
"R16";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";
"RST";"";"1,6/0,9";"1,6/0,9";"THROUGH-HOLE PAD";"";"";"";"";"";
"RX";"";"1,6/0,9";"1,6/0,9";"THROUGH-HOLE PAD";"";"";"";"";"";
"SCK";"";"1,6/0,9";"1,6/0,9";"THROUGH-HOLE PAD";"";"";"";"";"";
"SV1";"";"FE20-2";"FE20-2";"FEMALE HEADER";"";"";"unknown";"unknown";"";
"TX";"";"1,6/0,9";"1,6/0,9";"THROUGH-HOLE PAD";"";"";"";"";"";
"U$26";"EBAY_BUCK_CONVERTERMODULE";"EBAY_BUCK_CONVERTERMODULE";"BUCK_CONVERTER";"";"";"";"";"";"";
"U$34";"ESP32DEVKITC";"ESP32DEVKITC";"ESP32-DEVKITC";"";"";"";"";"";"";
"U2";"Addr 0x70";"TCA9548A";"TSSOP24";"TCA9548A I2C Multiplexer";"";"";"";"";"X";
